xid,xqmc,adress,usetype,built,county,zone,在售202311,在租202311,price202311,rate202311,在售202403,在租202403,price202403,rate202403,BaiduX,BaiduY,WGS84X,WGS84Y
2610156536,中粮祥云地铁小镇,蔡甸大街与西环路交叉口以西(地铁4号线新庙村..,住宅,2024年建成,蔡甸,蔡甸,69,0,7828,2.32%,40,0,6977,-1.35%,114.0131226,30.58603287,114.001108,30.58216689
2610154872,华发峰尚,潘庙四路和潘庙大道交汇处,住宅,暂无资料,新洲,阳逻,4,0,7021,-2.43%,6,0,6565,-1.65%,114.5898285,30.67447281,114.5783258,30.67086102
2610153648,德雅国际城港澳湾,阳逻风情大道1号(柴泊湖旁),住宅,2018年建成,新洲,阳逻,4,0,6838,0.03%,7,0,6571,-0.17%,114.583931,30.68509865,114.5724046,30.68157001
2610156206,城投秀水青城,青山区建设十一路青宜居车站旁,住宅,暂无资料,青山,红钢城,62,0,13281,4.68%,41,0,13009,0.83%,114.4240799,30.65196228,114.4119372,30.64855806
2610153928,招商一江璟城,和平大道建设六路(原13、14街坊),住宅,2019年建成,青山,红钢城,80,0,20336,1.66%,57,0,19787,-0.37%,114.4035034,30.64549255,114.3914006,30.64186825
2610162210,美院·幸福里,藏龙岛·美院旁,住宅,暂无资料,江夏,藏龙岛,35,0,8999,-3.89%,28,1,8878,-8.53%,114.4257507,30.39477348,114.4136263,30.39145171
2610155774,保利军运村,黄家湖湖岸公园地铁8号线军运村站,住宅,2020年建成,江夏,文化大道,39,6,16367,2.18%,28,8,16020,0.58%,114.2991562,30.43151855,114.2871624,30.42831872
2610156952,保利时光印象,黄家湖南岸豹子山公园旁,住宅,暂无资料,江夏,文化大道,40,3,12612,6.43%,37,0,11476,-10.55%,114.2808304,30.41858482,114.2689026,30.41516533
2611101828,联投汉口郡,汉口北大道特9号(胜海家园旁),住宅,2018年建成,黄陂,武湖,16,0,8873,-2.68%,2,0,9088,0.28%,114.4149857,30.72747421,114.4028539,30.72397577
2610156860,明想青年汇,汤云海路(佰昌小学斜对面),住宅,暂无资料,黄陂,盘龙城,18,0,9420,-5.37%,7,0,8296,-7.91%,114.2508621,30.70483017,114.2390376,30.70091762
