Join_Count,TARGET_FID,xid,price202403,p_x_y,DB4201T_ID,label,KMeamsID,Krigin
1,1,2610156536.000000000000000,6977,6977_114.001108_30.58216689,101,1,24,13
1,2,2610154872.000000000000000,6565,6565_114.5783258_30.67086102,145,1,29,12
1,3,2610153648.000000000000000,6571,6571_114.5724046_30.68157001,145,30,95,13
1,4,2610156206.000000000000000,13009,13009_114.4119372_30.64855806,66,31,105,16
1,5,2610153928.000000000000000,19787,19787_114.3914006_30.64186825,65,0,11,17
1,6,2610162210.000000000000000,8878,8878_114.4136263_30.39145171,117,10,31,15
1,7,2610155774.000000000000000,16020,16020_114.2871624_30.42831872,112,21,72,15
1,8,2610156952.000000000000000,11476,11476_114.2689026_30.41516533,112,21,72,15
1,9,2611101828.000000000000000,9088,9088_114.4028539_30.72397577,130,21,82,13
1,10,2610156860.000000000000000,8296,8296_114.2390376_30.70091762,142,11,58,14
1,11,2610938430.000000000000000,7798,7798_114.4188364_30.70761164,130,20,71,14
1,12,2610153132.000000000000000,21075,21075_114.214792_30.59244686,22,1,25,17
1,13,2610159982.000000000000000,26657,26657_114.2644656_30.57945618,27,10,40,19
1,14,2611108480.000000000000000,37329,37329_114.3330103_30.56314641,46,41,124,24
1,15,2610009405.000000000000000,22806,22806_114.3175048_30.51381706,53,10,36,20
1,16,2611193540.000000000000000,14942,14942_114.1996078_30.51990465,42,11,52,17
1,17,2611004718.000000000000000,16250,16250_114.1927533_30.54758575,37,31,100,17
1,18,2610154726.000000000000000,11137,11137_114.1411198_30.64587954,87,40,119,14
1,19,2610159290.000000000000000,30201,30201_114.2921813_30.60194689,4,0,8,22
1,20,2611045650.000000000000000,23557,23557_114.3099984_30.65132526,14,10,44,19
1,21,2610156494.000000000000000,22716,22716_114.4003615_30.60995492,78,41,125,18
1,22,2610296422.000000000000000,17432,17432_114.3185302_30.48147392,76,30,87,17
1,23,2610160104.000000000000000,23242,23242_114.5153705_30.48575103,173,21,74,20
1,24,2610159948.000000000000000,4282,4282_114.0756045_30.31540854,94,30,83,12
1,25,2610159726.000000000000000,5043,5043_114.0768807_30.31092881,94,0,129,12
1,26,2610157204.000000000000000,5078,5078_114.0832963_30.358183,95,11,48,13
1,27,2610154864.000000000000000,5829,5829_114.07428_30.3537371,95,11,48,13
1,28,2611166974.000000000000000,9683,9683_114.0760978_30.35142275,95,11,48,13
1,29,2610154626.000000000000000,6308,6308_114.0850091_30.35556087,95,11,48,13
1,30,2610476742.000000000000000,23157,23157_114.4115052_30.45752988,170,31,98,19
1,31,2611122904.000000000000000,19207,19207_114.4394953_30.50040765,166,10,35,19
1,32,2610154306.000000000000000,4098,4098_114.0751375_30.30638764,94,0,129,12
1,33,2610157694.000000000000000,12627,12627_114.6014382_30.4836011,175,40,112,16
1,34,2611280898.000000000000000,5732,5732_114.0754327_30.32348757,94,31,96,12
1,35,2610153400.000000000000000,26726,26726_114.4141929_30.50086688,167,11,50,19
1,36,2610159784.000000000000000,5377,5377_114.0714273_30.31111818,94,0,129,12
1,37,2610154636.000000000000000,3775,3775_114.0686798_30.31116471,94,0,129,12
1,38,2610153856.000000000000000,5226,5226_114.076496_30.31978448,94,30,83,12
1,39,2610153348.000000000000000,3113,3113_114.0783261_30.31727297,94,30,83,12
1,40,2610922690.000000000000000,5388,5388_114.0778325_30.32991015,94,30,83,12
1,41,2611085606.000000000000000,26010,26010_114.4022641_30.49359536,169,11,50,20
1,42,2610159126.000000000000000,17065,17065_114.4896468_30.45914441,177,20,63,19
1,43,2610156874.000000000000000,22376,22376_114.5199303_30.48732785,173,21,74,20
1,44,2610309942.000000000000000,19883,19883_114.3960205_30.47686441,168,30,87,19
1,45,2610153152.000000000000000,18478,18478_114.4818993_30.47234433,177,20,63,19
1,46,2610153050.000000000000000,22528,22528_114.5124653_30.48596523,173,21,74,19
1,47,2610153332.000000000000000,25594,25594_114.5115115_30.49434411,173,21,74,19
1,48,2611081576.000000000000000,18004,18004_114.5144436_30.48265911,173,21,74,20
1,49,2610155904.000000000000000,19290,19290_114.4834238_30.46851451,177,20,63,19
1,50,2610155754.000000000000000,18872,18872_114.4738863_30.4963712,173,20,62,19
1,51,2610156184.000000000000000,24547,24547_114.412036_30.48064959,168,11,50,20
1,52,2610155776.000000000000000,21595,21595_114.4767843_30.48463225,173,21,74,19
1,53,2611278184.000000000000000,26144,26144_114.4039351_30.48312767,169,11,50,20
1,54,2610153378.000000000000000,31109,31109_114.4090136_30.50867276,167,11,50,21
1,55,2610153776.000000000000000,27730,27730_114.4111364_30.50458519,167,11,50,20
1,56,2610159248.000000000000000,9499,9499_114.2164169_30.43177919,80,20,61,15
1,57,2610162242.000000000000000,32492,32492_114.515734_30.47392671,173,21,74,20
1,58,2611086992.000000000000000,23839,23839_114.4001462_30.48788971,169,11,50,20
1,59,2610152968.000000000000000,11741,11741_114.436837_30.50049538,166,10,35,19
1,60,2610154724.000000000000000,24737,24737_114.3942896_30.48173937,168,30,87,19
1,61,2610475062.000000000000000,18354,18354_114.402019_30.4732881,168,30,87,20
1,62,2610940404.000000000000000,22825,22825_114.4369732_30.50392508,166,10,35,19
1,63,2610067581.000000000000000,19128,19128_114.4091851_30.50111791,167,10,39,20
1,64,2611074252.000000000000000,21887,21887_114.4170256_30.50566093,167,11,50,20
1,65,2610156150.000000000000000,19835,19835_114.5293395_30.50440239,174,21,74,19
1,66,2610154176.000000000000000,22231,22231_114.5012089_30.48477292,173,21,74,19
1,67,2610310270.000000000000000,18616,18616_114.4334665_30.44959818,178,30,85,18
1,68,2610156940.000000000000000,30398,30398_114.402587_30.49042664,169,11,50,21
1,69,2610155658.000000000000000,21490,21490_114.4897641_30.48227171,173,21,74,19
1,70,2610078120.000000000000000,23156,23156_114.4109069_30.46356038,170,31,98,20
1,71,2611080328.000000000000000,24867,24867_114.4090891_30.47477524,168,30,87,21
1,72,2610158912.000000000000000,17809,17809_114.4785471_30.47491604,173,20,63,19
1,73,2610159204.000000000000000,14716,14716_114.492836_30.46005351,177,20,63,19
1,74,2611137634.000000000000000,21457,21457_114.4422343_30.48839296,165,10,35,19
1,75,2610154786.000000000000000,22429,22429_114.5094298_30.48054981,173,21,74,20
1,76,2611208402.000000000000000,22100,22100_114.3221418_30.49706049,75,31,99,19
1,77,2611263348.000000000000000,25741,25741_114.4063584_30.48282286,169,11,50,20
1,78,2610391102.000000000000000,28084,28084_114.4369732_30.50392508,166,10,35,19
1,79,2610156790.000000000000000,13590,13590_114.59944_30.49326068,175,40,112,16
1,80,2610337706.000000000000000,27823,27823_114.3785855_30.51085493,167,1,17,19
1,81,2610539480.000000000000000,23014,23014_114.4087343_30.4785421,168,30,87,21
1,82,2611003574.000000000000000,28848,28848_114.4103568_30.49540045,169,11,50,20
1,83,2611210296.000000000000000,24388,24388_114.408442_30.46464249,170,31,98,20
1,84,2610085730.000000000000000,19205,19205_114.4009818_30.47529126,168,30,87,20
1,85,2611003682.000000000000000,27101,27101_114.4204051_30.51116086,166,11,50,20
1,86,2611208330.000000000000000,19376,19376_114.4822617_30.47682781,173,20,63,19
1,87,2700060440.000000000000000,14727,14727_114.3809515_30.46884973,168,30,87,19
1,88,2610346944.000000000000000,15224,15224_114.4111341_30.47461686,168,30,87,21
1,89,2611223134.000000000000000,19325,19325_114.4326949_30.48000467,165,10,35,18
1,90,2610153882.000000000000000,20678,20678_114.4382743_30.48350945,165,10,35,18
1,91,2610153704.000000000000000,23102,23102_114.510132_30.48665673,173,21,74,19
1,92,2611130876.000000000000000,30758,30758_114.4222422_30.51262319,166,11,50,20
1,93,2611174120.000000000000000,27594,27594_114.4191805_30.51416126,167,11,50,22
1,94,2610155734.000000000000000,17735,17735_114.4998069_30.53740469,172,0,9,18
1,95,2611030066.000000000000000,19612,19612_114.4301196_30.44606248,178,30,85,18
1,96,2610154046.000000000000000,19486,19486_114.4356832_30.47866562,165,10,35,18
1,97,2610662380.000000000000000,14369,14369_114.4328214_30.47656215,165,10,35,19
